university,thCode,enCode
มหาวิทยาลัยราชภัฏกาญจนบุรี,มรกจ.,
มหาวิทยาลัยราชภัฏกำแพงเพชร,มรภ.กพ.,KPRU
มหาวิทยาลัยราชภัฏจันทรเกษม,มจษ.,CRU
มหาวิทยาลัยราชภัฏชัยภูมิ,มชย.,CPRU
มหาวิทยาลัยราชภัฏเชียงราย,มร.ช.,
มหาวิทยาลัยราชภัฏเชียงใหม่,มร.ชม.,CMRU
มหาวิทยาลัยราชภัฏเทพสตรี,มรท.,TRU
มหาวิทยาลัยราชธานี,มรธ.,RTU
มหาวิทยาลัยราชภัฏนครปฐม,มรน.,NPRU
มหาวิทยาลัยราชภัฏนครราชสีมา,มร.นม.,NRRU
มหาวิทยาลัยราชภัฏนครศรีธรรมราช,มรนศ.,
มหาวิทยาลัยราชภัฏนครสวรรค์,มรนว.,
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,มบส.,BSRU
มหาวิทยาลัยราชภัฏบุรีรัมย์,มรภ.บร.,BRU
มหาวิทยาลัยราชภัฏพระนคร,มรภ.พน.,
มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,มรอย.,
มหาวิทยาลัยราชภัฏพิบูลสงคราม,มรพส.,
มหาวิทยาลัยราชภัฏเพชรบุรี,มรภ.พบ.,PBRU
มหาวิทยาลัยราชภัฏเพชรบูรณ์,มรพช.,
มหาวิทยาลัยราชภัฏภูเก็ต,มรภ.,PKRU
มหาวิทยาลัยราชภัฏมหาสารคาม,มรม.,RMU
มหาวิทยาลัยราชภัฏยะลา,มรย.,YRU
มหาวิทยาลัยราชภัฏร้อยเอ็ด,ม.รอ.,
มหาวิทยาลัยราชภัฏราชนครินทร์,มรร.,RRU
มหาวิทยาลัยราชภัฏรำไพพรรณี,มรรพ.,
มหาวิทยาลัยราชภัฏลำปาง,มร.ลป.,LPRU
มหาวิทยาลัยราชภัฏเลย,มรล.,LRU
มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,มรว.,VRU
มหาวิทยาลัยราชภัฏศรีสะเกษ,มรภ.ศก.,SSKRU
มหาวิทยาลัยราชภัฏสกลนคร,มรสน.,
มหาวิทยาลัยราชภัฏสงขลา,มรภ.สข.,SKRU
มหาวิทยาลัยราชภัฏสวนสุนันทา,มรภ.สส.,
มหาวิทยาลัยรังสิต,มรส.,RSU
มหาวิทยาลัยราชภัฏสุรินทร์,ม.รภ.สร.,
มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,มรมจ.,
มหาวิทยาลัยราชภัฏอุดรธานี,มร.อด.,UDRU
มหาวิทยาลัยราชภัฏอุตรดิตถ์,มรอ.,URU
มหาวิทยาลัยราชภัฏอุบลราชธานี,มรภ.อบ.,UBRU
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มทร.กรุงเทพ,RMUTK
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,มทร.ตะวันออก,RMUTTO
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,มทร.ธัญบุรี,RMUTT
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,มทร.พระนคร,RMUTP
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,มทร.รัตนโกสินทร์,RMUTR
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,มทร.ล้านนา,RMUTL
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,มทร.ศรีวิชัย,RMUTSV
มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,มทร.สุวรรณภูมิ,RUS
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,มทร.อีสาน,RMUTI
มหาวิทยาลัยกรุงเทพ,มกท.,
มหาวิทยาลัยกรุงเทพธนบุรี,มกธ.,
มหาวิทยาลัยการจัดการและเทคโนโลยีอีสเทิร์น,มจทอ.,
มหาวิทยาลัยเกริก,ม.กร.,
มหาวิทยาลัยเกษมบัณฑิต,มกบ.,KBU
มหาวิทยาลัยคริสเตียน,ม.ค.ต,
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,มฉก.,HCU
มหาวิทยาลัยชินวัตร,มชว.,SIU
มหาวิทยาลัยเซนต์จอห์น,มซจ.,SJU
มหาวิทยาลัยตาปี,มตป.,TPU
มหาวิทยาลัยเทคโนโลยีมหานคร,มทม.,MUT
มหาวิทยาลัยธนบุรี,มธร.,TRU
มหาวิทยาลัยธุรกิจบัณฑิตย์,มธบ.,DPU
มหาวิทยาลัยนอร์ทกรุงเทพ,มนก.,NBU
มหาวิทยาลัยเนชั่น,มนช.,NTU
มหาวิทยาลัยนานาชาติแสตมฟอร์ด,มนชส.,STIU
มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก,ม.น.อ.,
มหาวิทยาลัยปทุมธานี,ม.ป.ท.,
มหาวิทยาลัยพายัพ,มพย.,PYU
มหาวิทยาลัยพิษณุโลก,มพล.,PLU
มหาวิทยาลัยฟาฏอนี,มฟน.,FTU
มหาวิทยาลัยฟาร์อีสเทอร์น,ม.ฟ.อ.,
มหาวิทยาลัยภาคกลาง,ม.ภก.,UCT
มหาวิทยาลัยภาคตะวันออกเฉียงเหนือ,ม.ภ.น.,
มหาวิทยาลัยรัตนบัณฑิต,มรบ.,RBAC
มหาวิทยาลัยราชพฤกษ์,มรพ.,RPU
มหาวิทยาลัยวงษ์ชวลิตกุล,มว.,VU
มหาวิทยาลัยเว็บสเตอร์(ประเทศไทย),ม.ว.ท.,
มหาวิทยาลัยเวสเทิร์น,มท.,WTU
มหาวิทยาลัยศรีปทุม,มศป.,SPU
มหาวิทยาลัยสยาม,มส.,SU
มหาวิทยาลัยหอการค้าไทย,มกค.,UTCC
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ม.ฉ.ก.,
มหาวิทยาลัยหาดใหญ่,ม.ญ.,
