university,thCode,enCode
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๓,สอฉ. ๓,IVENE 3
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๔,สอฉ. ๔,IVENE 4
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๕,สอฉ. ๕,IVENE 5
โรงเรียนนายร้อยตำรวจ,รร.นรต.,RPCA
โรงเรียนนายร้อยพระจุลจอมเกล้า,รร.จปร.,CRMA
โรงเรียนนายเรือ,รร.นร.,RTNA
โรงเรียนนายเรืออากาศนวมินทกษัตริยาธิราช,รร.นนก.,NKRAFA
วิทยาลัยพยาบาลกองทัพบก,,
วิทยาลัยพยาบาลกองทัพเรือ,,
วิทยาลัยพยาบาลตำรวจ,,
วิทยาลัยพยาบาลทหารอากาศ,,
วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,วพม.,PCM
วิทยาลัยการชลประทาน,วชป.,
สถาบันการบินพลเรือน,สบพ.,CATC
สถาบันการพลศึกษา,สพล.,IPE
สถาบันบัณฑิตพัฒนศิลป์,BPI,
สถาบันพระบรมราชชนก,สบช.,PI
ศูนย์ฝึกพาณิชย์นาวี,MMTC,
มหาวิทยาลัยเกษตรศาสตร์,มก.,KU
มหาวิทยาลัยขอนแก่น,มข.,KKU
จุฬาลงกรณ์มหาวิทยาลัย,จุฬาฯ,CU
มหาวิทยาลัยเชียงใหม่,มช.,CMU
มหาวิทยาลัยทักษิณ,มทษ.,TSU
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,มจธ.,KMUTT
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,มจพ.,KMUTNB
มหาวิทยาลัยเทคโนโลยีสุรนารี,มทส.,SUT
มหาวิทยาลัยธรรมศาสตร์,มธ.,TU
มหาวิทยาลัยนวมินทราธิราช,นมร.,NMU
มหาวิทยาลัยบูรพา,มบ.,BUU
มหาวิทยาลัยพะเยา,มพ.,UP
มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,มจร,MCU
มหาวิทยาลัยมหามกุฏราชวิทยาลัย,มมร,MBU
มหาวิทยาลัยมหิดล,มม.,MU
มหาวิทยาลัยแม่โจ้,มมจ.,MJU
มหาวิทยาลัยแม่ฟ้าหลวง,มฟล.,MFU
มหาวิทยาลัยวลัยลักษณ์,มวล.,WU
มหาวิทยาลัยศรีนครินทรวิโรฒ,มศว,SWU
มหาวิทยาลัยศิลปากร,มศก.,SU
มหาวิทยาลัยสงขลานครินทร์,ม.อ.,PSU
มหาวิทยาลัยสวนดุสิต,มสด.,SDU
สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,,
สถาบันดนตรีกัลยาณิวัฒนา,สกว.,PGVIM
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,สจล.,KMITL
สถาบันบัณฑิตศึกษาจุฬาภรณ์,สบจ.,CGI
วิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์,PCCMS,
มหาวิทยาลัยกรุงเทพสุวรรณภูมิ,มกส.,BSU
มหาวิทยาลัยการจัดการและเทคโนโลยีอีสเทิร์น,มจท.,UMT
มหาวิทยาลัยเกริก,มกร.,KRU
มหาวิทยาลัยเกษมบัณฑิต,มกบ.,KBU
มหาวิทยาลัยคริสเตียน,มคต.,CTU
มหาวิทยาลัยเฉลิมกาญจนา,มฉน.,CNU
มหาวิทยาลัยตาปี,มตป.,TPU
มหาวิทยาลัยเจ้าพระยา,มจพ.,CPU
มหาวิทยาลัยชินวัตร,มชว.,SIU
มหาวิทยาลัยเซนต์จอห์น,มซจ.,SJU
มหาวิทยาลัยเทคโนโลยีมหานคร,มทม.,MUT
มหาวิทยาลัยธนบุรี,มธร.,TRU
มหาวิทยาลัยธุรกิจบัณฑิตย์,มธบ.,DPU
มหาวิทยาลัยนอร์ทกรุงเทพ,มนก.,NBU
มหาวิทยาลัยนอร์ท-เชียงใหม่,มนช.,NCU
มหาวิทยาลัยนานาชาติแสตมฟอร์ด,มนชส.,STIU
มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก,มนอ.,AIU
มหาวิทยาลัยเนชั่น,มนช.,NTU
